,year,rank,title,artist
1719,1971,5,How Can You Mend a Broken Heart,Bee Gees
1720,1971,6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Raiders
1721,1971,7,Go Away Little Girl,Donny Osmond
1722,1971,8,"Take Me Home, Country Roads",John Denver
1723,1971,9,Just My Imagination (Running Away with Me),The Temptations
1724,1971,10,Knock Three Times,Tony Orlando and Dawn
1725,1971,11,Me and Bobby McGee,Janis Joplin
1726,1971,12,Tired of Being Alone,Al Green
1727,1971,13,Want Ads,Honey Cone
1728,1971,14,Smiling Faces Sometimes,The Undisputed Truth
1729,1971,15,Treat Her Like a Lady,Cornelius Brothers & Sister Rose
1730,1971,16,Brown Sugar,The Rolling Stones
1731,1971,17,You've Got a Friend,James Taylor
1732,1971,18,Mr. Big Stuff,Jean Knight
1733,1971,19,Do You Know What I Mean,Lee Michaels
1734,1971,20,The Night They Drove Old Dixie Down,Joan Baez
1735,1971,21,What's Going On,Marvin Gaye
1736,1971,22,Uncle Albert/Admiral Halsey,Paul
1737,1971,23,Ain't No Sunshine,Bill Withers
1738,1971,24,Signs,Five Man Electrical Band
1739,1971,25,She's a Lady,Tom Jones
1740,1971,26,I've Found Someone of My Own,The Free Movement
1741,1971,27,Superstar,Murray Head & The Trinidad Singers
1742,1971,28,Amos Moses,Jerry Reed
1743,1971,29,Temptation Eyes,The Grass Roots
1744,1971,30,Superstar,The Carpenters
1745,1971,31,My Sweet Lord,George Harrison
1746,1971,32,Sweet and Innocent,Donny Osmond
1747,1971,33,Put Your Hand in the Hand,Ocean
1748,1971,34,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop
1749,1971,35,For All We Know,The Carpenters
1750,1971,36,If You Could Read My Mind,Gordon Lightfoot
1751,1971,37,Help Me Make It Through the Night,Sammi Smith
1752,1971,38,Rainy Days and Mondays,The Carpenters
1753,1971,39,"Gypsys, Tramps & Thieves",Cher
1754,1971,40,Never Can Say Goodbye,The Jackson 5
1755,1971,41,Rose Garden,Lynn Anderson
1756,1971,42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds"
1757,1971,43,It Don't Come Easy,Ringo Starr
1758,1971,44,Mr. Bojangles,Nitty Gritty Dirt Band
1759,1971,45,I Love You for All Seasons,The Fuzz
1760,1971,46,Whatcha See is Whatcha Get,The Dramatics
1761,1971,47,That's the Way I've Always Heard It Should Be,Carly Simon
1762,1971,48,If You Really Love Me,Stevie Wonder
1763,1971,49,Spanish Harlem,Aretha Franklin
1764,1971,50,I Don't Know How to Love Him,Helen Reddy
1765,1971,51,Yo-Yo,The Osmonds
1766,1971,52,Bridge over Troubled Water,Aretha Franklin
1767,1971,53,Doesn't Somebody Want to Be Wanted,The Partridge Family
1768,1971,54,Draggin' the Line,Tommy James
1769,1971,55,Proud Mary,Ike & Tina Turner
1770,1971,56,Beginnings,Chicago
1771,1971,57,Stay Awhile,The Bells
1772,1971,58,Sweet City Woman,The Stampeders
1773,1971,59,Me and You and a Dog Named Boo,Lobo
1774,1971,60,Another Day,Paul McCartney
1775,1971,61,If,Bread
1776,1971,62,Mercy Mercy Me (The Ecology),Marvin Gaye
1777,1971,63,One Toke Over the Line,Brewer & Shipley
1778,1971,64,She's Not Just Another Woman,8th Day
1779,1971,65,Bring the Boys Home,Freda Payne
1780,1971,66,I Just Want to Celebrate,Rare Earth
1781,1971,67,Never Ending Song of Love,Delaney & Bonnie
1782,1971,68,Easy Loving,Freddie Hart
1783,1971,69,Liar,Three Dog Night
1784,1971,70,Stick-Up,Honey Cone
1785,1971,71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon
1786,1971,72,(Where Do I Begin?) Love Story,Andy Williams
1787,1971,73,Wild World,Cat Stevens
1788,1971,74,"When You're Hot, You're Hot",Jerry Reed
1789,1971,75,Funky Nassau,The Beginning of the End
1790,1971,76,If Not for You,Olivia Newton-John
1791,1971,77,Groove Me,King Floyd
1792,1971,78,Watching Scotty Grow,Bobby Goldsboro
1793,1971,79,Woodstock,Matthews Southern Comfort
1794,1971,80,Amazing Grace,Judy Collins
1795,1971,81,I Hear You Knocking,Dave Edmunds
1796,1971,82,Lonely Days,Bee Gees
1797,1971,83,Here Comes That Rainy Day Feeling Again,The Fortunes
1798,1971,84,Won't Get Fooled Again,The Who
1799,1971,85,Trapped By a Thing Called Love,Denise LaSalle
1800,1971,86,Mama's Pearl,The Jackson 5
1801,1971,87,Timothy,The Buoys
1802,1971,88,I Woke Up In Love This Morning,The Partridge Family
1803,1971,89,Theme from Shaft,Isaac Hayes
1804,1971,90,If I Were Your Woman,Gladys Knight & the Pips
1805,1971,91,I Am...I Said,Neil Diamond
1806,1971,92,The Wedding Song (There Is Love),Paul Stookey
1807,1971,93,Don't Knock My Love,Wilson Pickett
1808,1971,94,Love Her Madly,The Doors
1809,1971,95,Here Comes the Sun,Richie Havens
1810,1971,96,Sweet Mary,Wadsworth Mansion
1811,1971,97,Right on the Tip of My Tongue,Brenda & the Tabulations
1812,1971,98,One Less Bell to Answer,The 5th Dimension
1813,1971,99,Riders on the Storm,The Doors
1814,1971,100,It's Impossible,Perry Como
1815,1972,,,
1816,1972,1,The First Time Ever I Saw Your Face,Roberta Flack
1817,1972,2,Alone Again (Naturally),Gilbert O'Sullivan
1818,1972,3,American Pie,Don McLean
1819,1972,4,Without You,Harry Nilsson
1820,1972,5,The Candy Man,Sammy Davis Jr.
1821,1972,6,I Gotcha,Joe Tex
1822,1972,7,Lean on Me,Bill Withers
1823,1972,8,"Baby, Don't Get Hooked on Me",Mac Davis
1824,1972,9,Brand New Key,Melanie
1825,1972,10,Daddy Don't You Walk So Fast,Wayne Newton
1826,1972,11,Let's Stay Together,Al Green
1827,1972,12,Brandy (You're a Fine Girl),Looking Glass
1828,1972,13,Oh Girl,The Chi-Lites
1829,1972,14,Nice to Be with You,Gallery
1830,1972,15,My Ding-a-Ling,Chuck Berry
1831,1972,16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram
1832,1972,17,Heart of Gold,Neil Young
1833,1972,18,"Betcha by Golly, Wow",The Stylistics
1834,1972,19,I'll Take You There,The Staple Singers
1835,1972,20,Ben,Michael Jackson
1836,1972,21,The Lion Sleeps Tonight,Robert John
1837,1972,22,Outa-Space,Billy Preston
1838,1972,23,Slippin' into Darkness,War
1839,1972,24,Long Cool Woman in a Black Dress,The Hollies
1840,1972,25,How Do You Do,Mouth & MacNeal
1841,1972,26,Song Sung Blue,Neil Diamond
1842,1972,27,A Horse with No Name,America
1843,1972,28,Popcorn,Hot Butter
1844,1972,29,Everybody Plays the Fool,The Main Ingredient
1845,1972,30,Precious and Few,Climax
1846,1972,31,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension
1847,1972,32,Nights in White Satin,The Moody Blues
1848,1972,33,Go All the Way,Raspberries
1849,1972,34,Too Late to Turn Back Now,Cornelius Brothers & Sister Rose
1850,1972,35,Back Stabbers,The O'Jays
1851,1972,36,Down by the Lazy River,The Osmonds
1852,1972,37,Sunshine,Jonathan Edwards
1853,1972,38,Starting All Over Again,Mel and Tim
1854,1972,39,Day After Day,Badfinger
1855,1972,40,Rocket Man,Elton John
1856,1972,41,Rockin' Robin,Michael Jackson
1857,1972,42,Beautiful Sunday,Daniel Boone
1858,1972,43,Scorpio,Dennis Coffey
1859,1972,44,Morning Has Broken,Cat Stevens
1860,1972,45,City of New Orleans,Arlo Guthrie
1861,1972,46,Garden Party,Ricky Nelson
1862,1972,47,I Can See Clearly Now,Johnny Nash
1863,1972,48,Burning Love,Elvis Presley
1864,1972,49,Clean Up Woman,Betty Wright
1865,1972,50,Hold Your Head Up,Argent
1866,1972,51,Jungle Fever,The Chakachas
1867,1972,52,Everything I Own,Bread
1868,1972,53,In the Rain,The Dramatics
1869,1972,54,Look What You Done for Me,Al Green
1870,1972,55,The Happiest Girl in the Whole U.S.A.,Donna Fargo
1871,1972,56,Bang a Gong (Get it On),T. Rex
1872,1972,57,Mother and Child Reunion,Paul Simon
1873,1972,58,Where Is the Love,Roberta Flack
1874,1972,59,I'm Still in Love with You,Al Green
1875,1972,60,Layla,Derek and the Dominos
1876,1972,61,Day Dreaming,Aretha Franklin
1877,1972,62,The Way of Love,Cher
1878,1972,63,Black and White,Three Dog Night
1879,1972,64,Sylvia's Mother,Dr. Hook & the Medicine Show
1880,1972,65,Hurting Each Other,The Carpenters
1881,1972,66,Coconut,Harry Nilsson
1882,1972,67,Puppy Love,Donny Osmond
1883,1972,68,You Don't Mess Around with Jim,Jim Croce
1884,1972,69,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen
1885,1972,70,A Cowboy's Work Is Never Done,Sonny & Cher
1886,1972,71,Joy,Apollo 100
1887,1972,72,Anticipation,Carly Simon
1888,1972,73,Never Been to Spain,Three Dog Night
1889,1972,74,Kiss an Angel Good Mornin',Charley Pride
1890,1972,75,School's Out,Alice Cooper
1891,1972,76,Saturday in the Park,Chicago
1892,1972,77,Drowning in the Sea of Love,Joe Simon
1893,1972,78,Use Me,Bill Withers
1894,1972,79,Family Affair,Sly & the Family Stone
1895,1972,80,Troglodyte (Cave Man),The Jimmy Castor Bunch
1896,1972,81,The Witch Queen of New Orleans,Redbone
1897,1972,82,Freddie's Dead,Curtis Mayfield
1898,1972,83,Power of Love,Joe Simon
1899,1972,84,Ain't Understanding Mellow,Jerry Butler
1900,1972,85,Taxi,Harry Chapin
1901,1972,86,Don't Say You Don't Remember,Beverly Bremers
1902,1972,87,Sealed with a Kiss,Bobby Vinton
1903,1972,88,I Saw the Light,Todd Rundgren
1904,1972,89,Motorcycle Mama,Sailcat
1905,1972,90,Day by Day,Original Cast of Godspell
1906,1972,91,Roundabout,Yes
1907,1972,92,Doctor My Eyes,Jackson Browne
1908,1972,93,I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers
1909,1972,94,Vincent,Don McLean
1910,1972,95,Baby Let Me Take You (In My Arms),The Detroit Emeralds
1911,1972,96,Speak to the Sky,Rick Springfield
1912,1972,97,I'd Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers
1913,1972,98,Walkin' in the Rain with the One I Love,Love Unlimited
1914,1972,99,Get on the Good Foot,James Brown
1915,1972,100,Pop That Thang,The Isley Brothers
1916,1973,,,
1917,1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn
1918,1973,2,"Bad, Bad Leroy Brown",Jim Croce
1919,1973,3,Killing Me Softly with His Song,Roberta Flack
1920,1973,4,Let's Get It On,Marvin Gaye
1921,1973,5,My Love,Paul McCartney & Wings
1922,1973,6,Why Me,Kris Kristofferson
1923,1973,7,Crocodile Rock,Elton John
1924,1973,8,Will It Go Round in Circles,Billy Preston
1925,1973,9,You're So Vain,Carly Simon
1926,1973,10,Touch Me in the Morning,Diana Ross
1927,1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence
1928,1973,12,Playground in My Mind,Clint Holmes
1929,1973,13,Brother Louie,Stories
1930,1973,14,Delta Dawn,Helen Reddy
1931,1973,15,Me and Mrs. Jones,Billy Paul
1932,1973,16,Frankenstein,The Edgar Winter Group
1933,1973,17,Drift Away,Dobie Gray
1934,1973,18,Little Willy,Sweet
1935,1973,19,You Are the Sunshine of My Life,Stevie Wonder
1936,1973,20,Half-Breed,Cher
1937,1973,21,That Lady,The Isley Brothers
1938,1973,22,Pillow Talk,Sylvia Robinson
1939,1973,23,We're an American Band,Grand Funk Railroad
1940,1973,24,Right Place Wrong Time,Dr. John
1941,1973,25,Wildflower,Skylark
1942,1973,26,Superstition,Stevie Wonder
1943,1973,27,Loves Me Like a Rock,Paul Simon
1944,1973,28,The Morning After,Maureen McGovern
1945,1973,29,Rocky Mountain High,John Denver
1946,1973,30,Stuck in the Middle with You,Stealers Wheel
1947,1973,31,Shambala,Three Dog Night
1948,1973,32,Love Train,The O'Jays
1949,1973,33,I'm Gonna Love You Just a Little More Baby,Barry White
1950,1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn
1951,1973,35,Keep on Truckin',Eddie Kendricks
1952,1973,36,Danny's Song,Anne Murray
1953,1973,37,Dancing in the Moonlight,King Harvest
1954,1973,38,Monster Mash,Bobby 'Boris' Pickett
1955,1973,39,Natural High,Bloodstone
1956,1973,40,Diamond Girl,Seals and Crofts
1957,1973,41,Long Train Runnin',The Doobie Brothers
1958,1973,42,Give Me Love (Give Me Peace on Earth),George Harrison
1959,1973,43,If You Want Me to Stay,Sly & the Family Stone
1960,1973,44,Daddy's Home,Jermaine Jackson
1961,1973,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips
1962,1973,46,I'm Doin' Fine Now,New York City
1963,1973,47,Could It Be I'm Falling in Love,The Spinners
1964,1973,48,Daniel,Elton John
1965,1973,49,Midnight Train to Georgia,Gladys Knight & the Pips
1966,1973,50,Smoke on the Water,Deep Purple
1967,1973,51,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show
1968,1973,52,Behind Closed Doors,Charlie Rich
1969,1973,53,Your Mama Don't Dance,Loggins and Messina
1970,1973,54,Feelin' Stronger Every Day,Chicago
1971,1973,55,The Cisco Kid,War
1972,1973,56,Live and Let Die,Paul McCartney & Wings
1973,1973,57,"Oh, Babe, What Would You Say?",Hurricane Smith
1974,1973,58,I Believe in You (You Believe in Me),Johnnie Taylor
1975,1973,59,Sing,The Carpenters
1976,1973,60,Ain't No Woman (Like the One I've Got),The Four Tops
1977,1973,61,Dueling Banjos,Eric Weissberg
1978,1973,62,Higher Ground,Stevie Wonder
1979,1973,63,Here I Am (Come and Take Me),Al Green
1980,1973,64,My Maria,B.W. Stevenson
1981,1973,65,Superfly,Curtis Mayfield
1982,1973,66,Last Song,Edward Bear
1983,1973,67,Get Down,Gilbert O'Sullivan
1984,1973,68,Reelin' in the Years,Steely Dan
1985,1973,69,Hocus Pocus,Focus
1986,1973,70,Yesterday Once More,The Carpenters
1987,1973,71,Boogie Woogie Bugle Boy,Bette Midler
1988,1973,72,Clair,Gilbert O'Sullivan
1989,1973,73,Do It Again,Steely Dan
1990,1973,74,Kodachrome,Paul Simon
1991,1973,75,Why Can't We Live Together,Timmy Thomas
1992,1973,76,Do You Wanna Dance?,Bette Midler
1993,1973,77,So Very Hard to Go,Tower of Power
1994,1973,78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers
1995,1973,79,Ramblin' Man,The Allman Brothers Band
1996,1973,80,Masterpiece,The Temptations
1997,1973,81,Peaceful,Helen Reddy
1998,1973,82,One of a Kind (Love Affair),The Spinners
1999,1973,83,Funny Face,Donna Fargo
2000,1973,84,Funky Worm,Ohio Players
2001,1973,85,Angie,The Rolling Stones
2002,1973,86,Jambalaya (On the Bayou),Blue Ridge Rangers
2003,1973,87,Don't Expect Me to Be Your Friend,Lobo
2004,1973,88,Break Up to Make Up,The Stylistics
2005,1973,89,Daisy a Day,Jud Strunk
2006,1973,90,Also Sprach Zarathustra (2001),Deodato
2007,1973,91,Stir It Up,Johnny Nash
2008,1973,92,Money,Pink Floyd
2009,1973,93,Gypsy Man,War
2010,1973,94,The World Is a Ghetto,
2011,1973,95,Yes We Can Can,The Pointer Sisters
2012,1973,96,Free Ride,The Edgar Winter Group
2013,1973,97,Space Oddity,David Bowie
2014,1973,98,It Never Rains in Southern California,Albert Hammond
2015,1973,99,The Twelfth of Never,Donny Osmond
2016,1973,100,Papa Was a Rollin' Stone,The Temptations
2017,1974,,,
2018,1974,1,The Way We Were,Barbra Streisand
2019,1974,2,Seasons in the Sun,Terry Jacks
2020,1974,3,Love's Theme,Love Unlimited Orchestra
2021,1974,4,Come and Get Your Love,Redbone
2022,1974,5,Dancing Machine,The Jackson 5
2023,1974,6,The Loco-Motion,Grand Funk Railroad
2024,1974,7,TSOP (The Sound of Philadelphia),MFSB
2025,1974,8,The Streak,Ray Stevens
2026,1974,9,Bennie and the Jets,Elton John
2027,1974,10,One Hell of a Woman,Mac Davis
2028,1974,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin
2029,1974,12,Jungle Boogie,Kool & the Gang
2030,1974,13,Midnight at the Oasis,Maria Muldaur
2031,1974,14,You Make Me Feel Brand New,The Stylistics
2032,1974,15,Show and Tell,Al Wilson
2033,1974,16,Spiders and Snakes,Jim Stafford
2034,1974,17,Rock On,David Essex
2035,1974,18,Sunshine on My Shoulders,John Denver
2036,1974,19,Sideshow,Blue Magic
2037,1974,20,Hooked on a Feeling,Blue Swede
2038,1974,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods
2039,1974,22,Band on the Run,Paul McCartney and Wings
2040,1974,23,The Most Beautiful Girl,Charlie Rich
2041,1974,24,Time in a Bottle,Jim Croce
2042,1974,25,Annie's Song,John Denver
2043,1974,26,Let Me Be There,Olivia Newton-John
2044,1974,27,Sundown,Gordon Lightfoot
2045,1974,28,(You're) Having My Baby,Paul Anka
2046,1974,29,Rock Me Gently,Andy Kim
2047,1974,30,Boogie Down,Eddie Kendricks
2048,1974,31,You're Sixteen,Ringo Starr
2049,1974,32,If You Love Me (Let Me Know),Olivia Newton-John
2050,1974,33,Dark Lady,Cher
2051,1974,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips
2052,1974,35,Feel Like Makin' Love,Roberta Flack
2053,1974,36,Just Don't Want to Be Lonely,The Main Ingredient
2054,1974,37,Nothing from Nothing,Billy Preston
2055,1974,38,Rock Your Baby,George McCrae
2056,1974,39,Top of the World,The Carpenters
2057,1974,40,The Joker,Steve Miller Band
2058,1974,41,I've Got to Use My Imagination,Gladys Knight & the Pips
2059,1974,42,The Show Must Go On,Three Dog Night
2060,1974,43,Rock the Boat,The Hues Corporation
2061,1974,44,Smokin' in the Boys Room,Brownsville Station
2062,1974,45,Living for the City,Stevie Wonder
2063,1974,46,Then Came You,Dionne Warwick
2064,1974,47,The Night Chicago Died,Paper Lace
2065,1974,48,The Entertainer,Marvin Hamlisch
2066,1974,49,Waterloo,ABBA
2067,1974,50,The Air That I Breathe,The Hollies
2068,1974,51,Rikki Don't Lose That Number,Steely Dan
2069,1974,52,Mockingbird,Carly Simon
2070,1974,53,Help Me,Joni Mitchell
2071,1974,54,You Won't See Me,Anne Murray
2072,1974,55,"Never, Never Gonna Give You Up",Barry White
2073,1974,56,Tell Me Something Good,Rufus
2074,1974,57,You and Me Against the World,Helen Reddy
2075,1974,58,Rock and Roll Heaven,The Righteous Brothers
2076,1974,59,Hollywood Swinging,Kool & the Gang
2077,1974,60,Be Thankful for What You Got,William DeVaughn
2078,1974,61,Hang on in There Baby,Johnny Bristol
2079,1974,62,Eres tú,Mocedades
2080,1974,63,Takin' Care of Business,Bachman-Turner Overdrive
2081,1974,64,Radar Love,Golden Earring
2082,1974,65,Please Come to Boston,Dave Loggins
2083,1974,66,Keep on Smilin',Wet Willie
2084,1974,67,Lookin' for a Love,Bobby Womack
2085,1974,68,Put Your Hands Together,The O'Jays
2086,1974,69,On and On,Gladys Knight & the Pips
2087,1974,70,Oh Very Young,Cat Stevens
2088,1974,71,Leave Me Alone (Ruby Red Dress),Helen Reddy
2089,1974,72,Goodbye Yellow Brick Road,Elton John
2090,1974,73,(I've Been) Searchin' So Long,Chicago
2091,1974,74,Oh My My,Ringo Starr
2092,1974,75,For the Love of Money,The O'Jays
2093,1974,76,I Shot the Sheriff,Eric Clapton
2094,1974,77,Jet,Paul McCartney and Wings
2095,1974,78,Don't Let the Sun Go Down on Me,Elton John
2096,1974,79,Tubular Bells,Mike Oldfield
2097,1974,80,A Love Song,Anne Murray
2098,1974,81,I'm Leaving It (All) Up to You,Donny
2099,1974,82,Hello It's Me,Todd Rundgren
2100,1974,83,I Love,Tom T. Hall
2101,1974,84,Clap for the Wolfman,The Guess Who
2102,1974,85,I'll Have to Say I Love You in a Song,Jim Croce
2103,1974,86,The Lord's Prayer,Sister Janet Mead
2104,1974,87,Trying to Hold on to My Woman,Lamont Dozier
2105,1974,88,Don't You Worry 'bout a Thing,Stevie Wonder
2106,1974,89,A Very Special Love Song,Charlie Rich
2107,1974,90,My Girl Bill,Jim Stafford
2108,1974,91,Helen Wheels,Paul McCartney and Wings
2109,1974,92,My Mistake (Was to Love You),Diana Ross
2110,1974,93,Wildwood Weed,Jim Stafford
2111,1974,94,Beach Baby,The First Class
2112,1974,95,Me and Baby Brother,War
2113,1974,96,Rockin' Roll Baby,The Stylistics
2114,1974,97,I Honestly Love You,Olivia Newton-John
2115,1974,98,Call on Me,Chicago
2116,1974,99,Wild Thing,Fancy
2117,1974,100,Mighty Love,The Spinners
2118,1975,,,
2119,1975,1,Love Will Keep Us Together,Captain & Tennille
2120,1975,2,Rhinestone Cowboy,Glen Campbell
2121,1975,3,Philadelphia Freedom,Elton John
2122,1975,4,Before the Next Teardrop Falls,Freddy Fender
2123,1975,5,My Eyes Adored You,Frankie Valli
2124,1975,6,Some Kind of Wonderful,Grand Funk Railroad
2125,1975,7,Shining Star,"Earth, Wind & Fire"
2126,1975,8,Fame,David Bowie
2127,1975,9,Laughter in the Rain,Neil Sedaka
2128,1975,10,One of These Nights,Eagles
2129,1975,11,Thank God I'm a Country Boy,John Denver
2130,1975,12,Jive Talkin',Bee Gees
2131,1975,13,Best of My Love,Eagles
2132,1975,14,Lovin' You,Minnie Riperton
2133,1975,15,Kung Fu Fighting,Carl Douglas
2134,1975,16,Black Water,The Doobie Brothers
2135,1975,17,The Ballroom Blitz,Sweet
2136,1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
2137,1975,19,He Don't Love You (Like I Love You),Tony Orlando and Dawn
2138,1975,20,At Seventeen,Janis Ian
2139,1975,21,Pick Up the Pieces,Average White Band
2140,1975,22,The Hustle,Van McCoy & the Soul City Symphony
2141,1975,23,Lady Marmalade,Labelle
2142,1975,24,Why Can't We Be Friends?,War
2143,1975,25,Love Won't Let Me Wait,Major Harris
2144,1975,26,Boogie On Reggae Woman,Stevie Wonder
2145,1975,27,Wasted Days and Wasted Nights,Freddy Fender
2146,1975,28,Angie Baby,Helen Reddy
2147,1975,29,Fight the Power,The Isley Brothers
2148,1975,30,Jackie Blue,Ozark Mountain Daredevils
2149,1975,31,Fire,Ohio Players
2150,1975,32,Magic,Pilot
2151,1975,33,Please Mr. Postman,The Carpenters
2152,1975,34,Sister Golden Hair,America
2153,1975,35,Lucy in the Sky with Diamonds,Elton John
2154,1975,36,Mandy,Barry Manilow
2155,1975,37,Have You Never Been Mellow,Olivia Newton-John
2156,1975,38,Could It Be Magic,Barry Manilow
2157,1975,39,Cat's in the Cradle,Harry Chapin
2158,1975,40,Wildfire,Michael Martin Murphey
2159,1975,41,I'm Not Lisa,Jessi Colter
2160,1975,42,Listen to What the Man Said,Wings
2161,1975,43,I'm Not in Love,10cc
2162,1975,44,I Can Help,Billy Swan
2163,1975,45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds"
2164,1975,46,Feelings,Morris Albert
2165,1975,47,When Will I Be Loved,Linda Ronstadt
2166,1975,48,Chevy Van,Sammy Johns
2167,1975,49,"You're the First, the Last, My Everything",Barry White
2168,1975,50,Please Mr. Please,Olivia Newton-John
2169,1975,51,You're No Good,Linda Ronstadt
2170,1975,52,Dynomite,Bazuka
2171,1975,53,Walking in Rhythm,The Blackbyrds
2172,1975,54,The Way We Were,Gladys Knight & the Pips
2173,1975,55,Midnight Blue,Melissa Manchester
2174,1975,56,"Don't Call Us, We'll Call You",Sugarloaf
2175,1975,57,Poetry Man,Phoebe Snow
2176,1975,58,How Long?,Ace
2177,1975,59,Express,B.T. Express
2178,1975,60,That's the Way of the World,"Earth, Wind & Fire"
2179,1975,61,Lady,Styx
2180,1975,62,Bad Time,Grand Funk
2181,1975,63,Only Women Bleed,Alice Cooper
2182,1975,64,Doctor's Orders,Carol Douglas
2183,1975,65,Get Down Tonight,KC and the Sunshine Band
2184,1975,66,"""One Man Woman/One Woman Man""",Paul Anka
2185,1975,67,You Are So Beautiful,Joe Cocker
2186,1975,68,Feel Like Makin' Love,Bad Company
2187,1975,69,How Sweet It Is (To Be Loved by You),James Taylor
2188,1975,70,Dance with Me,Orleans
2189,1975,71,Cut the Cake,Average White Band
2190,1975,72,Never Can Say Goodbye,Gloria Gaynor
2191,1975,73,I Don't Like to Sleep Alone,Paul Anka
2192,1975,74,Morning Side of the Mountain,Donny
2193,1975,75,When Will I See You Again,The Three Degrees
2194,1975,76,"Get Down, Get Down (Get on the Floor)",Joe Simon
2195,1975,77,I'm Sorry,John Denver
2196,1975,78,Killer Queen,Queen
2197,1975,79,Shoeshine Boy,Eddie Kendricks
2198,1975,80,Do It ('Til You're Satisfied),B.T. Express
2199,1975,81,Can't Get It Out of My Head,Electric Light Orchestra
2200,1975,82,"""Sha-La-La (Make Me Happy)""",Al Green
2201,1975,83,Lonely People,America
2202,1975,84,You Got the Love,Rufus
2203,1975,85,The Rockford Files Theme,Mike Post
2204,1975,86,It Only Takes a Minute,Tavares
2205,1975,87,No No Song,Ringo Starr
2206,1975,88,Junior's Farm,Paul McCartney & Wings
2207,1975,89,Bungle in the Jungle,Jethro Tull
2208,1975,90,Long Tall Glasses (I Can Dance),Leo Sayer
2209,1975,91,Misty,Ray Stevens
2210,1975,92,Someone Saved My Life Tonight,Elton John
2211,1975,93,Bad Blood,Neil Sedaka
2212,1975,94,Only Yesterday,The Carpenters
2213,1975,95,I'm on Fire,Dwight Twilley Band
2214,1975,96,Only You (And You Alone),Ringo Starr
2215,1975,97,Third Rate Romance,Amazing Rhythm Aces
2216,1975,98,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive
2217,1975,99,Swearin' to God,Frankie Valli
2218,1975,100,Get Dancin',Disco-Tex and the Sex-O-Lettes
2219,1976,,,
2220,1976,1,Silly Love Songs,Wings
2221,1976,2,Don't Go Breaking My Heart,Elton John
2222,1976,3,Disco Lady,Johnnie Taylor
2223,1976,4,"December, 1963 (Oh, What a Night)",The Four Seasons
2224,1976,5,Play That Funky Music,Wild Cherry
2225,1976,6,Kiss and Say Goodbye,The Manhattans
2226,1976,7,Love Machine,The Miracles
2227,1976,8,50 Ways to Leave Your Lover,Paul Simon
2228,1976,9,Love Is Alive,Gary Wright
2229,1976,10,A Fifth of Beethoven,Walter Murphy
2230,1976,11,Sara Smile,Hall & Oates
2231,1976,12,Afternoon Delight,Starland Vocal Band
2232,1976,13,I Write the Songs,Barry Manilow
2233,1976,14,"Fly, Robin, Fly",Silver Convention
2234,1976,15,Love Hangover,Diana Ross
2235,1976,16,Get Closer,Seals and Crofts
2236,1976,17,"More, More, More",Andrea True Connection
2237,1976,18,Bohemian Rhapsody,Queen
2238,1976,19,Misty Blue,Dorothy Moore
2239,1976,20,Boogie Fever,The Sylvers
2240,1976,21,I'd Really Love to See You Tonight,England Dan & John Ford Coley
2241,1976,22,You Sexy Thing,Hot Chocolate
2242,1976,23,Love Hurts,Nazareth
2243,1976,24,Get Up and Boogie,Silver Convention
2244,1976,25,Take It to the Limit,Eagles
2245,1976,26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band
2246,1976,27,Sweet Love,Commodores
2247,1976,28,Right Back Where We Started From,Maxine Nightingale
2248,1976,29,Theme from S.W.A.T.,Rhythm Heritage
2249,1976,30,Love Rollercoaster,Ohio Players
2250,1976,31,You Should Be Dancing,Bee Gees
2251,1976,32,You'll Never Find Another Love Like Mine,Lou Rawls
2252,1976,33,Golden Years,David Bowie
2253,1976,34,Moonlight Feels Right,Starbuck
2254,1976,35,Only Sixteen,Dr. Hook
2255,1976,36,Let Your Love Flow,The Bellamy Brothers
2256,1976,37,Dream Weaver,Gary Wright
2257,1976,38,Turn the Beat Around,Vicki Sue Robinson
2258,1976,39,Lonely Night (Angel Face),Captain & Tennille
